data_loader_1  | loading etpeth with 68983 lines
data_loader_1  | loading kanusd with 45668 lines
data_loader_1  | loading algbtc with 6555 lines
data_loader_1  | loading okbbtc with 2 lines
data_loader_1  | loading avtusd with 76845 lines
data_loader_1  | loading edoeth with 25394 lines
data_loader_1  | loading funeth with 27007 lines
data_loader_1  | loading eoseur with 193663 lines
data_loader_1  | loading paxusd with 121468 lines
data_loader_1  | loading leobtc with 28074 lines
data_loader_1  | loading zbtust with 32005 lines
data_loader_1  | loading batbtc with 36798 lines
data_loader_1  | loading sngusd with 18911 lines
data_loader_1  | loading tkneth with 3659 lines
data_loader_1  | loading dtxusd with 9173 lines
data_loader_1  | loading atobtc with 4304 lines
data_loader_1  | loading nioeth with 560 lines
data_loader_1  | loading vetbtc with 177980 lines
data_loader_1  | loading gsdusd with 1098 lines
data_loader_1  | loading rifbtc with 71445 lines
data_loader_1  | loading odebtc with 11438 lines
data_loader_1  | loading evtusd with 0 lines
data_loader_1  | loading orsbtc with 1064 lines
data_loader_1  | loading omnusd with 988 lines
data_loader_1  | loading anteth with 1785 lines
data_loader_1  | loading iqxeos with 8745 lines
data_loader_1  | loading wloxlm with 1703 lines
data_loader_1  | loading daieth with 18483 lines
data_loader_1  | loading trxgbp with 19611 lines
data_loader_1  | loading tknusd with 3664 lines
data_loader_1  | loading iosbtc with 10698 lines
data_loader_1  | loading yggusd with 57688 lines
data_loader_1  | loading leoeos with 912 lines
data_loader_1  | loading clousd with 1316 lines
data_loader_1  | loading veeeth with 3811 lines
data_loader_1  | loading zcneth with 29070 lines
data_loader_1  | loading eosgbp with 58513 lines
data_loader_1  | loading atoeth with 3185 lines
data_loader_1  | loading boxeth with 1959 lines
data_loader_1  | loading seneth with 3044 lines
data_loader_1  | loading trxbtc with 141612 lines
data_loader_1  | loading vldusd with 869 lines
data_loader_1  | loading batusd with 59282 lines
data_loader_1  | loading iosusd with 17745 lines
data_loader_1  | loading atmbtc with 365 lines
data_loader_1  | loading pnketh with 2780 lines
data_loader_1  | loading stjusd with 3125 lines
data_loader_1  | loading waxeth with 3591 lines
data_loader_1  | loading datusd with 190991 lines
data_loader_1  | loading ampbtc with 2059 lines
data_loader_1  | loading hoteth with 6764 lines
data_loader_1  | loading waxusd with 15883 lines
data_loader_1  | loading niousd with 2940 lines
data_loader_1  | loading lymusd with 82830 lines
data_loader_1  | loading lrcusd with 8193 lines
data_loader_1  | loading utkusd with 5019 lines
data_loader_1  | loading senusd with 2687 lines
data_loader_1  | loading agiusd with 10595 lines
data_loader_1  | loading mkrdai with 1798 lines
data_loader_1  | loading pasusd with 6240 lines
data_loader_1  | loading dadeth with 287738 lines
data_loader_1  | loading ctxeth with 8186 lines
data_loader_1  | loading rlcbtc with 17372 lines
data_loader_1  | loading miteth with 5193 lines
data_loader_1  | loading etcbtc with 616198 lines
data_loader_1  | loading gtxust with 167 lines
data_loader_1  | loading xmrbtc with 511270 lines
data_loader_1  | loading gnousd with 479 lines
data_loader_1  | loading rteeth with 33538 lines
data_loader_1  | loading xrausd with 2407 lines
